Index,場所,謝罪対象,理由,謝罪1,謝罪2,謝罪3,謝罪4
25,駅,友達A,友達Aが寝坊したので集合時間を変え、家で待機していたが、電車が遅延して自分が新しく設定した集合時間に5分遅刻した,ごめん,ごめんね,ごめんなさい,
26,家,親,夕食が不要だということを2日前に伝えたが、親がそれを忘れていて、帰宅したら夕食が用意されていた,ごめん,ごめんなさい,,
27,大学,先輩,誤って書き込みをしてしまった先輩の教科書を本人に返す,すみません,すみませんでした,申し訳ないです,ごめんなさい
28,カフェ,友達A,友達Aの出席数と単位取得に必要な最低出席数を一緒に確認したが、数え間違えたため出席数が足りず、友達Aが単位を落としたことを伝えられた,ごめん,ごめんね,,
29,授業前の教室,友達,友達が忌引きで授業を欠席することになり、期末試験範囲を聞いておいてほしいと言われたが、寝坊して授業に行けなかったので聞けなかった,ごめん,ごめんなさい,ごめんね,
30,カフェ,友達,席を取っておいてもらう代わりにLサイズのコーヒーを買ってきてほしいと言われたので、買ってきたところ、頼んだのはMサイズだと言われた。,ごめん,ごめんね,,
33,アルバイト先,先輩,2週間前くらいに、急にシフトに入れなくなり、電話して代わりに入ってもらったことがあったことについて,すみませんでした,申し訳ないです,すみません,
36,アルバイト先,店長,夏休みに3週間短期留学するので、シフトに入れない,申し訳ないです,申し訳ありません,すみません,
37,サークルのミーティング,サークルの幹事長(あまり親しくない先輩),会計係の分担として集めた5名分の合宿費を紛失した,申し訳ありません,申し訳ありませんでした,申し訳ないです,ごめんなさい
38,遊園地,友達5人,高所恐怖症でジェットコースターに乗れない(他の人は当日までそのことを知らなかった),ごめん,ごめんなさい,ごめんね,
40,自分の家,先輩,自分の家でサークルでバーベキューをすることになり、先輩が家からバーベキューセットを持ってきてくれたが、実は家にあったのでそれを隠そうとしたが、ばれた,すみません,ごめんなさい,すみませんでした,申し訳ないです
41,授業前の教室,同じ授業の履修者,同級生だと思って敬語を使わずに話していたら、再履修の先輩だった,すみません,ごめんなさい,すみませんでした,申し訳ないです
42,新歓の花見,同級生,先輩だと思って話していたら、同級生だった,ごめん,すみません,ごめんね,ごめんなさい
43,アルバイト先,店長,残業を頼まれたが用事があるので残れない,すみません,申し訳ないです,すみませんでした,ごめんなさい
44,教授の研究室,あまり親しくない教授,研究室でコーヒーを出されたが、飲めない,すみません,申し訳ないです,申し訳ありません,
45,アルバイト先,先輩,まかないを作ってもらったが、苦手なものが入っていて、残したまま返す,すみません,ごめんなさい,申し訳ないです,すみませんでした
47,カフェ,先輩,恋人と上手くいっているか聞いたら、最近別れたと言われた,すみません,ごめんなさい,申し訳ないです,ごめん
49,家,弟/妹,小3の弟/妹の誕生日会に頼まれたケーキを買って帰ったら、自転車で急いでいたため、空けたらぐっちゃぐちゃになっていた,ごめんね,ごめんなさい,ごめん,
50,レストランのテーブル,友達Aの誕生日会でサプライズを企画した友達B,誕生日会に友達Aを連れて行く道中、サプライズのことをバラしてしまった,ごめんなさい,ごめん,ごめんね,
51,共通の友達Aの誕生日会への道中,友達B,友達Bと同じプレゼントを買ってしまった,ごめん,ごめんなさい,ごめんね,
53,電車,友達,自分のせいで電車の乗り換えを間違ってしまった,ごめん,ごめんね,ごめんなさい,
54,レストラン,先輩,先輩の頼んだ料理に時間がかかると言われ、自分だけ先に食べることになった,すみません,申し訳ないです,すみませんでした,
55,友達の家,友達,クリスマスパーティーにケーキを買っていったが、友達が自宅で作ってくれていた,ごめん,ごめんなさい,,
56,先輩の車,先輩,4人でドライブしていたときに、トイレに行きたくなってコンビニを探してもらわなければならない,すみません,すみませんでした,申し訳ないです,ごめんなさい
57,公園,友達,自分が持ってきたチャッカマンが花火の途中で点かなくなった,ごめん,ごめんね,ごめんなさい,
58,サークルの部室,友達,プリンを人数分買ってきたが、スプーンを忘れた,ごめん,ごめんなさい,ごめんね,
59,レストラン,先輩,モバイルバッテリーを貸したが、残量がほとんどなかった,すみません,ごめんなさい,すみませんでした,申し訳ないです
60,駅,友達,雨の日に友達が傘を持っていなかったため、自分の傘に一緒に入っていたが、駅に着いたときに友達の服がびしょ濡れだった,ごめん,ごめんね,,
62,カフェ,友達,友達と一緒に応募したアルバイトに友達は合格したが自分は落ちてしまった,ごめん,ごめんね,,
63,体育館(試合後),後輩,後輩の引退試合を見に行く約束をしていたが、寝坊してしまい試合に間に合わなかった,ごめん,ごめんね,,
64,アルバイト先,先輩,先輩に代わりに出勤して欲しいと頼まれて承諾したが、実はその日に予定があり出勤できないことが判明した,申し訳ないです,申し訳ありません,すみません,すみませんでした
65,家,親戚,３年前にあった親戚に初対面の挨拶をしてしまった,すみません,ごめんなさい,すみませんでした,
67,カフェ,友達,先日友達の誕生日に二人で遊んだが、誕生日だということを知らなかったので当日に何もできなかったことがわかったとき,ごめん,ごめんね,ごめんなさい,
68,カフェ,友達,友達がずっと見たがっていた映画を一緒に見たあとに感想を尋ねられたが、上映中に寝てしまっていたため、何も言えない,ごめん,ごめんね,ごめんなさい,
69,レストラン,店員,手がすべって食器を落として割ってしまった,すみません,申し訳ないです,申し訳ありません,
70,駅,先輩,授業後に一緒に映画に行こうとしていて、時間ギリギリで駅に着いたが、自分のPASMOのお金が足りず、乗ろうとしていた電車に乗れなかった,すみません,申し訳ないです,すみませんでした,
72,レストラン,後輩,後輩に奢るつもりで会計に向かったが、カードが使えないことが判明し、逆に後輩に奢ってもらうことになった,ごめんね,ごめん,ごめんなさい,
73,自宅,親,親の車を借りて買い物に行った際に車にかすり傷をつけてしまった,ごめんなさい,すみません,ごめんね,すみませんでした
74,道ばた,友達,自分のおすすめのカフェに友達を連れて行ったが、臨時休業していた,ごめん,ごめんね,,
75,アルバイト先,店長,以前から平日の午前中のシフトに入れないと伝えてあったが、その時間のシフトに入るように言われたので断る,すみません,申し訳ないです,申し訳ありません,すみませんでした
76,家,弟/妹,口論になって、明らかに自分には非がないが、親に、お互いに謝るように言われた,ごめん,ごめんね,ごめんなさい,
77,授業(演習),あまり親しくない教授,授業開始時刻直前に教室に入るとき、既に教室にいた教員に、｢遅刻ですよ｣と言われた,すみません,すみませんでした,,
78,派遣のアルバイト先,担当者,夏の派遣のアルバイトの際、服装に関する指示が全くなかったのできれいめのジーンズで行ったら怒られた。,すみません,申し訳ありません,申し訳ないです,申し訳ありませんでした
79,授業(語学),あまり親しくない教授,わからない単語を携帯で調べていたら、ただいじっているだけだと勘違いされて注意された,すみません,すみませんでした,,
80,アルバイト先,上司,研修会場に開始時間10分前に着いたが、新人なら15分前には着くのが常識だと言われた,すみません,申し訳ありません,申し訳ありませんでした,申し訳ないです
82,アルバイト先のレストラン,客,注文の最後にオーダーの確認をしたが、料理を提供した際に、頼んだものと違うと言われた,申し訳ありません,申し訳ありませんでした,すみません,すみませんでした
84,道ばた,お年寄り,道を聞かれたがわからない,すみません,ごめんなさい,申し訳ないです,すみませんでした
85,居酒屋,先輩の恋人,アルバイト先の先輩(異性)に2人で食事に誘われて居酒屋で飲んでいた。先輩に恋人がいることは知らなかったが、その居酒屋で先輩の恋人と鉢合わせ、謝れと言われた。,すみません,すみませんでした,ごめんなさい,
86,家,弟/妹,弟／妹が自分と2人で使っている部屋を散らかすので、片付けたところ弟/妹の宿題のプリントを誤って捨ててしまったことが発覚し、謝るように言われた,ごめん,ごめんね,,
89,カフェ,男子高校生,カフェでアイスコーヒーを注文し席に向かっているときに、スマホを見ながら歩いていた男子高校生がぶつかってきて、彼の服(トレーニングウェア)にコーヒーがかかってしまった。,すみません,ごめんなさい,すみませんでした,申し訳ないです
90,アルバイト先,店長,店長を間違った名前で呼んでしまい、そのことを先輩に指摘された。,すみません,申し訳ありませんでした,申し訳ないです,すみませんでした
91,授業前の教室,友達A,グループで撮った写真をインスタグラムに載せたが、その写りが気に入らなかった友達Aがふざけながら謝ってと言ってきた。,ごめん,ごめんね,ごめんなさい,
92,アルバイト先,店長,ほかの店員のミスを自分のものと勘違いされて怒られた,すみません,申し訳ありません,すみませんでした,申し訳ありませんでした
94,家,親,成績が悪かったため怒られた,ごめんなさい,ごめん,すみませんでした,ごめんね
96,教室,あまり親しくない教授,授業中に友達に話しかけられたため、少し会話をしたら自分だけ怒られた,すみません,すみませんでした,,
98,レストラン,店員,料理を頼みすぎてしまい、食べきれないと思ったのでまだ出ていない料理をキャンセルする,すみません,申し訳ないです,申し訳ありません,すみませんでした
99,アルバイト先,店長,アルバイトを辞めることを伝える,申し訳ないです,申し訳ありません,すみません,すみませんでした
102,教室,友達,先日持っていたお菓子が賞味期限が切れていたが、友達が気にしないので食べたいと言ったため、食べさせたが、それが原因でお腹を下したことを伝えられた,ごめん,ごめんね,ごめんなさい,すみません
103,空港,友達,一緒の飛行機で韓国旅行に行くはずだったが、自分がパスポートを忘れてきたので飛行機に乗れなくなった,ごめん,ごめんなさい,ごめんね,
104,カフェ,店員,店員におすすめのメニューを聞いたが、結局全く違うメニューを注文する,すみません,ごめんなさい,申し訳ないです,
106,家,親,靴のサイズを聞いたうえで靴をプレゼントしたが、小さくて履けなかった,ごめんね,ごめん,ごめんなさい,
107,アルバイト先,後輩,自分が誤った指示を出してしまったせいで、後輩が客からクレームを受けた,ごめんね,ごめん,ごめんなさい,
108,アルバイト先のドラッグストア,客,女性客にストッキングの売り場を尋ねられたが、取り扱いがない,申し訳ありません,申し訳ないです,すみません,
112,観光地,知らない大学生5人,写真をお願いされたので渡されたスマートフォンで撮影しようとしたときに、スマートフォンを落としてしまった,すみません,すみませんでした,申し訳ないです,申し訳ありませんでした
113,旅館,旅館のスタッフ,ふらついて障子を破いてしまった,すみません,すみませんでした,申し訳ないです,申し訳ありませんでした
114,サークルのミーティング,後輩A,会うのが3回目の後輩Aの名前を未だに覚えていなかった,ごめん,ごめんね,ごめんなさい,
115,アルバイト先のレストラン,客,注文を受けた料理が品切れだった,申し訳ありません,申し訳ありませんでした,すみません,
